wardcode,wardname,constituencycode,constituencyname
95Z 23,Botanic,N06000003,Belfast South
95X 09,Bradshaw's Brae,N06000016,Strangford
95A 17,Brandywell,N06000008,Foyle
95W 04,Broadway,N06000013,North Down
95L 05,Brookeborough,N06000007,Fermanagh and South Tyrone
95G 11,Broughshane,N06000012,North Antrim
95N 11,Brownstown,N06000017,Upper Bann
95W 14,Bryansburn,N06000013,North Down
95V 14,Burleigh Hill,N06000005,East Antrim
95U 14,Burnthill,N06000014,South Antrim
95P 10,Burren and Kilbroney,N06000015,South Down
95E 01,Bushmills,N06000012,North Antrim
95Y 18,Cairnshill,N06000003,Belfast South
95M 15,Caledon,N06000007,Fermanagh and South Tyrone
95O 18,Callan Bridge,N06000011,Newry and Armagh
95P 24,Camlough,N06000011,Newry and Armagh
95K 16,Camowen,N06000018,West Tyrone
95A 26,Carn Hill,N06000008,Foyle
95D 10,Carnany,N06000012,North Antrim
95F 03,Carncastle,N06000005,East Antrim
95F 01,Carnlough,N06000005,East Antrim
95U 12,Carnmoney,N06000014,South Antrim
95E 04,Carnmoon,N06000012,North Antrim
95O 09,Carrigatuke,N06000011,Newry and Armagh
95X 19,Carrowdore,N06000016,Strangford
95Y 02,Carrowreagh,N06000001,Belfast East
95Y 21,Carryduff East,N06000003,Belfast South
95Y 20,Carryduff West,N06000003,Belfast South
95G 19,Castle Demesne,N06000012,North Antrim
95M 05,Castlecaulfield,N06000007,Fermanagh and South Tyrone
95L 23,Castlecoole,N06000007,Fermanagh and South Tyrone
95H 10,Castledawson,N06000010,Mid Ulster
95J 02,Castlederg,N06000018,West Tyrone
95C 19,Castlerock,N06000006,East Londonderry
95Z 50,Castleview,N06000002,Belfast North
95R 18,Castlewellan,N06000015,South Down
95R 12,Cathedral,N06000015,South Down
95Z 49,Cavehill,N06000002,Belfast North
95A 07,Caw,N06000008,Foyle
95C 13,Central,N06000006,East Londonderry
95F 06,Central,N06000005,East Antrim
95X 13,Central,N06000016,Strangford
95O 01,Charlemont,N06000011,Newry and Armagh
95Z 08,Cherryvalley,N06000001,Belfast East
95Z 47,Chichester Park,N06000002,Belfast North
95N 25,Church,N06000017,Upper Bann
95W 02,Churchill,N06000013,North Down
95C 17,Churchland,N06000006,East Londonderry
95T 17,Clady,N06000014,South Antrim
95K 05,Clanabogan,N06000018,West Tyrone
95W 17,Clandeboye,N06000013,North Down
95J 03,Clare,N06000018,West Tyrone
95A 02,Claudy,N06000006,East Londonderry
95Z 46,Cliftonville,N06000002,Belfast North
95V 11,Clipperstown,N06000005,East Antrim
95D 15,Clogh Mills,N06000012,North Antrim
95M 02,Clogher,N06000007,Fermanagh and South Tyrone
95P 08,Clonallan,N06000015,South Down
95Z 38,Clonard,N06000004,Belfast West
95A 11,Clondermot,N06000008,Foyle
95U 15,Cloughfern,N06000002,Belfast North
95I 07,Coagh,N06000010,Mid Ulster
95M 09,Coalisland North,N06000010,Mid Ulster
95M 10,Coalisland South,N06000010,Mid Ulster
95M 08,Coalisland West and Newmills,N06000010,Mid Ulster
95S 30,Collin Glen,N06000004,Belfast West
95U 20,Collinbridge,N06000002,Belfast North
95X 05,Comber East,N06000016,Strangford
95X 06,Comber North,N06000016,Strangford
95X 04,Comber West,N06000016,Strangford
95W 12,Conlig,N06000013,North Down
95U 21,Coole,N06000002,Belfast North
95B 14,Coolessan,N06000006,East Londonderry
95M 20,Coolhill,N06000007,Fermanagh and South Tyrone
95K 19,Coolnagard,N06000018,West Tyrone
95N 09,Corcrain,N06000017,Upper Bann
95N 22,Court,N06000017,Upper Bann
95W 21,Craigavad,N06000013,North Down
95F 09,Craigy Hill,N06000005,East Antrim
95G 09,Craigywarren,N06000012,North Antrim
95T 03,Cranfield,N06000014,South Antrim
95W 20,Crawfordsburn,N06000013,North Down
95Y 15,Cregagh,N06000001,Belfast East
95P 26,Creggan,N06000011,Newry and Armagh
95A 21,Creggan Central,N06000008,Foyle
95A 16,Creggan South,N06000008,Foyle
95A 14,Crevagh,N06000008,Foyle
95C 14,Cross Glebe,N06000006,East Londonderry
95R 08,Crossgar,N06000015,South Down
95P 27,Crossmaglen,N06000011,Newry and Armagh
95T 19,Crumlin,N06000014,South Antrim
95Z 36,Crumlin,N06000002,Belfast North
95G 10,Cullybackey,N06000012,North Antrim
95A 30,Culmore,N06000008,Foyle
95W 22,Cultra,N06000013,North Down
95P 19,Daisy Hill,N06000011,Newry and Armagh
95E 08,Dalriada,N06000012,North Antrim
95O 22,Demesne,N06000011,Newry and Armagh
95K 18,Dergmoney,N06000018,West Tyrone
95S 24,Derryaghy,N06000004,Belfast West
95S 24,Derryaghy,N06000009,Lagan Valley
95R 06,Derryboy,N06000016,Strangford
95L 15,Derrygonnelly,N06000007,Fermanagh and South Tyrone
95P 09,Derryleckagh,N06000015,South Down
95L 18,Derrylin,N06000007,Fermanagh and South Tyrone
95P 21,Derrymore,N06000011,Newry and Armagh
95O 07,Derrynoose,N06000011,Newry and Armagh
95N 02,Derrytrasna,N06000017,Upper Bann
95D 03,Dervock,N06000012,North Antrim
95L 21,Devenish,N06000007,Fermanagh and South Tyrone
95U 02,Doagh,N06000014,South Antrim
95L 03,Donagh,N06000007,Fermanagh and South Tyrone
95X 16,Donaghadee North,N06000013,North Down
95X 17,Donaghadee South,N06000013,North Down
95N 05,Donaghcloney,N06000017,Upper Bann
95M 07,Donaghmore,N06000010,Mid Ulster
95P 13,Donaghmore,N06000015,South Down
95R 22,Donard,N06000015,South Down
95O 17,Downs,N06000011,Newry and Armagh
95Y 14,Downshire,N06000001,Belfast East
95H 11,Draperstown,N06000010,Mid Ulster
95S 07,Dromara,N06000009,Lagan Valley
95K 02,Dromore,N06000018,West Tyrone
95Q 09,Dromore North,N06000009,Lagan Valley
95Q 08,Dromore South,N06000009,Lagan Valley
95P 20,Drumalane,N06000011,Newry and Armagh
95T 02,Drumanaway,N06000014,South Antrim
95R 05,Drumaness,N06000015,South Down
95S 09,Drumbo,N06000009,Lagan Valley
95N 18,Drumgask,N06000017,Upper Bann
95M 22,Drumglass,N06000007,Fermanagh and South Tyrone
95N 17,Drumgor,N06000017,Upper Bann
95P 17,Drumgullion,N06000011,Newry and Armagh
95K 10,Drumnakilly,N06000018,West Tyrone
95N 20,Drumnamoe,N06000017,Upper Bann
95K 03,Drumquin,N06000018,West Tyrone
95K 17,Drumragh,N06000018,West Tyrone
95W 18,Dufferin,N06000013,North Down
95U 22,Dunanney,N06000002,Belfast North
95Z 41,Duncairn,N06000002,Belfast North
